,source,target,content
5495,ShariC1961,POTUS,non tweet
5497,ShariC1961,SpeakerPelosi,non tweet
5551,elkinsinbox,YouTube,non tweet
5615,WilliamKidd1701,RickRoss,non tweet
5616,WilliamKidd1701,RickRoss,non tweet
5694,jrodd911,BarackObama,non tweet
5696,xencats,YourAnonCentral,non tweet
5704,carverhb1,CNN,non tweet
5725,wilbursbarn,CNN,non tweet
5753,EricLovesTheUS1,POTUS,non tweet
5779,P8NTRMAN,Reuters,non tweet
5787,PushBack4Trump,POTUS,non tweet
5799,OnemaxiMillion,CNN,non tweet
5809,DurstMarilyn,JoeBiden,non tweet
5810,DurstMarilyn,POTUS,non tweet
5851,RR60300058,ewarren,non tweet
5908,bearly_m,potus,non tweet
5924,Mimisu7,AOC,non tweet
5932,TheChrisBrandSh,CNN,non tweet
5941,ResistancePrty7,NPR,non tweet
5943,ResistancePrty7,CoryBooker,non tweet
5949,AvatarAntifa,jk_rowling,non tweet
6057,Rollcallroom,TuckerCarlson,non tweet
6069,big_govt,CNN,non tweet
6070,big_govt,MSNBC,non tweet
6086,paulbenedict7,CNN,non tweet
6156,j3nnyjump,ABC,non tweet
6204,thewoman62,POTUS,non tweet
6205,southysweet,TMZ,non tweet
6226,xencats,YourAnonCentral,non tweet
6279,00001Kat,ABC,non tweet
6338,roger94570980,JustinTrudeau,non tweet
6349,Biloximeemaw,YouTube,non tweet
6366,PirateToast1,YouTube,non tweet
6380,Darnelouise,TuckerCarlson,non tweet
6387,FunnyLibsTears,CNN,non tweet
6388,FunnyLibsTears,MSNBC,non tweet
6404,smithsk,YouTube,non tweet
6473,TgirlHung,POTUS,non tweet
6480,twittme1954,tedcruz,non tweet
6495,REALMamaSavage,TMZ,non tweet
6510,Modi4E,FoxNews,non tweet
6543,DaddyComposer,CBSNews,non tweet
6564,Batiste_Ice,CBSNews,non tweet
6570,JediOffspring1,washingtonpost,non tweet
6578,KarmaKazi10,DonaldJTrumpJr,non tweet
6621,REALMamaSavage,POTUS,non tweet
6636,MinorityEnrich1,McDonalds,non tweet
6638,MinorityEnrich1,Microsoft,non tweet
6644,daverich1978,CBSNews,non tweet
6711,KarmaKazi10,DonaldJTrumpJr,non tweet
6714,IsraelNewsLinks,seanhannity,non tweet
6722,ginam47326442,TMZ,non tweet
6743,RWH_GoodNoEvil,KingJames,non tweet
6769,UnSpokenTruthz,TheDailyShow,non tweet
6779,Nflnomore,NPR,non tweet
6794,go_in_to_,HillaryClinton,non tweet
6830,fadiapierre,TMZ,non tweet
6870,tan108m,Guardian,non tweet
6879,TheAnonAmerica,FoxNews,non tweet
6883,JediOffspring1,cnnbrk,non tweet
6906,SethMoyer3,FoxNews,non tweet
6911,TNSociallyMissy,seanhannity,non tweet
6935,JediOffspring1,MSNBC,non tweet
6952,candorvstruth,CNN,non tweet
6964,elkinsinbox,YouTube,non tweet
6972,Tazboi11,Roblox,non tweet
7021,jerryldavis2010,CNN,non tweet
7022,jerryldavis2010,MSNBC,non tweet
