,source,target,content
6842,Izzy_RedGay,BTS_twt,non tweet
6988,TheJudg89749625,YouTube,non tweet
7001,wusa9,washingtonpost,non tweet
7113,Melinda15858273,DonaldJTrumpJr,non tweet
7120,drstacysmall,YouTube,non tweet
7140,Julianyc422Shaw,NBA,non tweet
7160,sharkthang,AP,non tweet
7203,Phantom_Los305,Sethrogen,non tweet
7234,WillemBod,WhiteHouse,non tweet
7235,ladyinred5,BBCWorld,non tweet
7237,ladyinred5,WHO,non tweet
7238,ladyinred5,UN,non tweet
7242,ladyinred5,SpeakerPelosi,non tweet
7303,bigoffthapark9,BleacherReport,non tweet
7308,JacquelynTKing1,Disney,non tweet
7309,NimsObungeUK,YouTube,non tweet
7359,OneAbsurdLife,NFL,non tweet
7383,Nityalakshmi,KamalaHarris,non tweet
7384,Nityalakshmi,Oprah,non tweet
7385,Nityalakshmi,MichelleObama,non tweet
7424,patndapot,TheEllenShow,non tweet
7494,SGV_STARK,nytimes,non tweet
7504,MT_Strat,BBCNews,non tweet
7610,Kriss_Jong_Un,Google,non tweet
7632,Summit16777906,FortniteGame,non tweet
7714,MaryMcDonnell10,KamalaHarris,non tweet
7778,Alexama71317786,BTS_twt,non tweet
7813,yoksig,nytimes,non tweet
7865,JasonBromleyUK,JoeBiden,non tweet
7866,JasonBromleyUK,POTUS,non tweet
7877,koolboblove,nba,non tweet
7946,STEVEHAAGSPORT,bts_bighit,non tweet
7949,STEVEHAAGSPORT,BTS_twt,non tweet
7990,kkara654,WhiteHouse,non tweet
8101,TorontoVince,IvankaTrump,non tweet
8208,Lisa55091554,JoeBiden,non tweet
8277,BeTheChampionUR,Twitter,non tweet
8302,DuaneJohnson43,AdamSchefter,non tweet
8358,redbaren3,Starbucks,non tweet
8439,paulhswift,piersmorgan,non tweet
8447,MaggottyBread,YouTube,non tweet
8458,GoodboyENTLLC,ABC,non tweet
8459,GoodboyENTLLC,NBCNews,non tweet
8460,GoodboyENTLLC,cnnbrk,non tweet
8461,GoodboyENTLLC,CNN,non tweet
8476,syubberries,BTS_twt,non tweet
8578,PatTheAlpha06,JoeBiden,non tweet
8586,GettyVIP,bts_bighit,non tweet
8589,GettyVIP,BTS_twt,non tweet
8624,ruthiecab,cnnbrk,non tweet
8625,ruthiecab,cnni,non tweet
8626,ruthiecab,AP,non tweet
8628,ruthiecab,CBSNews,non tweet
8631,ruthiecab,nytimes,non tweet
