,source,target,content
5429,MissionaryBLMM,POTUS,non tweet
5449,SlipStream132,TMZ,non tweet
5502,Daphne_488,BernieSanders,non tweet
5506,Daphne_488,NBCNews,non tweet
5511,arshad_usa,nytimes,non tweet
5617,Tom886,AOC,non tweet
5621,Tom886,SenSanders,non tweet
5622,Tom886,SpeakerPelosi,non tweet
5626,Tom886,MMFlint,non tweet
5632,JerryFalwellJrP,Mike_Pence,non tweet
5647,suzijacuzi,BarackObama,non tweet
5649,suzijacuzi,BarackObama,non tweet
5650,suzijacuzi,BarackObama,non tweet
5652,suzijacuzi,BarackObama,non tweet
5658,pohsi,MTV,non tweet
5671,octavianasr,RollingStone,non tweet
5690,DEPZ41,YouTube,non tweet
5711,AsaKhalif,ABC,non tweet
5734,poeboston,nytimes,non tweet
5735,poeboston,StateDept,non tweet
5755,redpillanalyst,HillaryClinton,non tweet
5794,JBSamba1,UN,non tweet
5797,JBSamba1,StateDept,non tweet
5852,ebenito88,AOC,non tweet
5860,JuvanMiranda,YouTube,non tweet
5890,jacob_a_louis,YouTube,non tweet
5904,2ndAmendmentX,adamlevine,non tweet
5951,MissionaryBLMM,Twitter,non tweet
5952,AVALANCHE_RAP,MeekMill,non tweet
5971,citizenrosebud,WhiteHouse,non tweet
5972,citizenrosebud,POTUS,non tweet
5986,IamJPHogan,WhiteHouse,non tweet
5987,IamJPHogan,POTUS,non tweet
5992,daniel_e_adkins,nytimes,non tweet
6000,jphoganorg,WhiteHouse,non tweet
6001,jphoganorg,POTUS,non tweet
6005,MissionaryBLMM,SpeakerPelosi,non tweet
6011,jphoganorg,WhiteHouse,non tweet
6012,jphoganorg,POTUS,non tweet
6121,KarimahAsha,maddow,non tweet
6139,MichaelOffice15,WORLDSTAR,non tweet
6142,MissionaryBLMM,UN,non tweet
6143,MissionaryBLMM,StateDept,non tweet
6146,OgPhilleo,YouTube,non tweet
6167,RNTD,YouTube,non tweet
6168,RNTD,YouTube,non tweet
6170,KaneyKeown,kendricklamar,non tweet
6220,KelvinRanard,JoeBiden,non tweet
6264,MissionaryBLMM,NBA,non tweet
6265,MissionaryBLMM,NFL,non tweet
6266,MissionaryBLMM,MLB,non tweet
6267,MissionaryBLMM,SPORTSCENTER,non tweet
6268,MissionaryBLMM,espn,non tweet
6306,weRwideopen,CNN,non tweet
6307,weRwideopen,ABC,non tweet
6309,weRwideopen,NBCNews,non tweet
6312,funnygaydude,CNN,non tweet
6313,funnygaydude,ABC,non tweet
6315,funnygaydude,NBCNews,non tweet
6318,thatgaykat,CNN,non tweet
6319,thatgaykat,ABC,non tweet
6321,thatgaykat,NBCNews,non tweet
6324,MichaelACanty,CNN,non tweet
6325,MichaelACanty,ABC,non tweet
6327,MichaelACanty,NBCNews,non tweet
6330,singingfolife,CNN,non tweet
6331,singingfolife,ABC,non tweet
6333,singingfolife,NBCNews,non tweet
6349,KidGalilee,CNN,non tweet
6351,KidGalilee,CBSNews,non tweet
6354,KidGalilee,ABC,non tweet
6355,KidGalilee,JoeBiden,non tweet
6357,KidGalilee,AOC,non tweet
6399,suedanim,POTUS,non tweet
6400,suedanim,VP,non tweet
6403,KidGalilee,JoeBiden,non tweet
6408,KidGalilee,SpeakerPelosi,non tweet
